"text-gray-900","text-gray-900 2","text-gray-900 3","text-gray-900 4","text-gray-400","text-gray-900 5","font-mono","font-mono 2","font-mono 3","text-gray-900 6","text-gray-400 2"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Raritan Valley Community College","—","Patch","5","5","5","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","40.81","40.81","40.81","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","8.09","8.09","8.09","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Perivoli Climate Trust","Not Disclosed","—","Retired","2.06","2.06","2.06","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Interholco","Not Disclosed","—","Retired","50","50","50","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","WasteX","Not Disclosed","—","Retired","0.15","0.15","0.15","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","eoc energy ocean","Swiss Life","—","Retired","19.53","19.53","19.53","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","0.17","0.17","0.17","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Not Disclosed","—","Patch","170","170","170","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","RecyCoal GmbH","Not Disclosed","—","Retired","0.15","0.15","0.15","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","eoc energy ocean","Not Disclosed","—","Retired","23.61","23.61","23.61","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","6.74","6.74","6.74","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Brunel Property S.A.R.L","—","Retired","0.72","0.72","0.72","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","WasteX","Not Disclosed","—","Retired","0.03","0.03","0.03","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","0.64","0.64","0.64","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","Clarity AI","—","Patch","92","92","92","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","RecyCoal GmbH","Not Disclosed","—","Retired","2.17","2.17","2.17","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","4.43","4.43","4.43","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Jamf","—","Retired","100","100","100","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","Gorgias","—","Patch","72","72","72","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Cotierra AG","—","Retired","1,000","1,000","1,000","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Heartyculture Natural Products","Not Disclosed","—","Retired","0.97","0.97","0.97","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Brunel Property S.A.R.L","—","Retired","2.95","2.95","2.95","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","2.93","2.93","2.93","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Energiewerk Ilg","Not Disclosed","—","Retired","1.29","1.29","1.29","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Refurbed","—","Patch","0.28","0.28","0.28","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Refurbed","—","Patch","0.37","0.37","0.37","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","2.63","2.63","2.63","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Ceezer","—","Retired","1","1","1","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Cotierra AG","—","Retired","20","20","20","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Senken","","Novocarbo","23.19","23.19","23.19","Senken",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Interholco","Not Disclosed","—","Retired","54.94","54.94","54.94","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","8.54","8.54","8.54","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Heartyculture Natural Products","Not Disclosed","—","Retired","0.51","0.51","0.51","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Refurbed","—","Patch","0.99","0.99","0.99","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Dark Earth Carbon Ltd","Not Disclosed","—","atmosfair gGmbH","93.69","93.69","93.69","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","19.9","19.9","19.9","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Senken","","Novocarbo","25.7","25.7","25.7","Senken",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","CarStorConTechnologies","AHE Verbundsteine Betonwaren GmbH","—","Retired","0.64","0.64","0.64","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","WasteX","Not Disclosed","—","Retired","0.98","0.98","0.98","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","3.3","3.3","3.3","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Refurbed","—","Patch","22","22","22","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Brunel Property S.A.R.L","—","Retired","27.75","27.75","27.75","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","Gorgias","—","Patch","15","15","15","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Brunel Property S.A.R.L","—","Retired","267","267","267","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Avaloq Group AG","—","Patch","0.04","0.04","0.04","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","Zero Mission","—","Planboo","5.8","5.8","5.8","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Not Disclosed","—","Patch","0.09","0.09","0.09","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Zen Internet","—","Retired","9.81","9.81","9.81","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","0.22","0.22","0.22","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","ÖkoMAXX Energiewerke GmbH","Not Disclosed","—","Retired","27.86","27.86","27.86","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Brunel Property S.A.R.L","—","Retired","9.92","9.92","9.92","","—"
